,pClass0,pClass1,pClass2,Male,Female,Cabin,SEmberked,CEmberked,QEmberked,Age,SibSp,Parch,Fare
0,0,0,1,0,1,4,0,1,0,34.5,0,0,7.8292
1,0,0,1,1,0,4,0,0,1,47.0,1,0,7.0
2,0,1,0,0,1,4,0,1,0,62.0,0,0,9.6875
3,0,0,1,0,1,4,0,0,1,27.0,0,0,8.6625
4,0,0,1,1,0,4,0,0,1,22.0,1,1,12.2875
5,0,0,1,0,1,4,0,0,1,14.0,0,0,9.225
6,0,0,1,1,0,4,0,1,0,30.0,0,0,7.6292
7,0,1,0,0,1,4,0,0,1,26.0,1,1,29.0
8,0,0,1,1,0,4,1,0,0,18.0,0,0,7.2292
9,0,0,1,0,1,4,0,0,1,21.0,2,0,24.15
10,0,0,1,0,1,4,0,0,1,30.272590361445783,0,0,7.8958
11,1,0,0,0,1,4,0,0,1,46.0,0,0,26.0
12,1,0,0,1,0,6,0,0,1,23.0,1,0,82.2667
13,0,1,0,0,1,4,0,0,1,63.0,1,0,26.0
14,1,0,0,1,0,3,0,0,1,47.0,1,0,61.175
15,0,1,0,1,0,4,1,0,0,24.0,1,0,27.7208
16,0,1,0,0,1,4,0,1,0,35.0,0,0,12.35
17,0,0,1,0,1,4,1,0,0,21.0,0,0,7.225
18,0,0,1,1,0,4,0,0,1,27.0,1,0,7.925
19,0,0,1,1,0,4,1,0,0,45.0,0,0,7.225
20,1,0,0,0,1,4,1,0,0,55.0,1,0,59.4
21,0,0,1,0,1,4,0,0,1,9.0,0,1,3.1708
22,1,0,0,1,0,4,0,0,1,30.272590361445783,0,0,31.6833
23,1,0,0,0,1,4,1,0,0,21.0,0,1,61.3792
24,1,0,0,1,0,6,1,0,0,48.0,1,3,262.375
25,0,0,1,0,1,4,0,0,1,50.0,1,0,14.5
26,1,0,0,1,0,6,1,0,0,22.0,0,1,61.9792
27,0,0,1,0,1,4,1,0,0,22.5,0,0,7.225
28,1,0,0,0,1,7,0,0,1,41.0,0,0,30.5
29,0,0,1,0,1,4,1,0,0,30.272590361445783,2,0,21.6792
30,0,1,0,0,1,4,0,0,1,50.0,1,0,26.0
31,0,1,0,0,1,4,0,0,1,24.0,2,0,31.5
32,0,0,1,1,0,4,0,0,1,33.0,1,2,20.575
33,0,0,1,1,0,4,0,0,1,30.272590361445783,1,2,23.45
34,1,0,0,0,1,5,1,0,0,30.0,1,0,57.75
35,0,0,1,0,1,4,1,0,0,18.5,0,0,7.2292
36,0,0,1,1,0,4,0,0,1,30.272590361445783,0,0,8.05
37,0,0,1,1,0,4,0,0,1,21.0,0,0,8.6625
38,0,0,1,0,1,4,0,0,1,25.0,0,0,9.5
39,0,0,1,0,1,4,0,0,1,30.272590361445783,0,0,56.4958
40,0,0,1,0,1,4,1,0,0,39.0,0,1,13.4167
41,1,0,0,0,1,4,0,0,1,30.272590361445783,0,0,26.55
42,0,0,1,0,1,4,0,0,1,41.0,0,0,7.85
43,0,1,0,1,0,4,0,0,1,30.0,0,0,13.0
44,1,0,0,1,0,4,0,0,1,45.0,1,0,52.5542
45,0,0,1,0,1,4,0,0,1,25.0,0,0,7.925
46,1,0,0,0,1,7,1,0,0,45.0,0,0,29.7
47,0,0,1,0,1,4,0,1,0,30.272590361445783,0,0,7.75
48,1,0,0,1,0,4,1,0,0,60.0,0,0,76.2917
49,0,0,1,1,0,4,0,0,1,36.0,0,2,15.9
50,1,0,0,0,1,5,0,0,1,24.0,1,0,60.0
51,0,1,0,0,1,4,1,0,0,27.0,0,0,15.0333
52,0,1,0,1,0,4,0,0,1,20.0,2,1,23.0
53,1,0,0,1,0,5,0,0,1,28.0,3,2,263.0
54,0,1,0,0,1,4,1,0,0,30.272590361445783,0,0,15.5792
55,0,0,1,0,1,4,0,1,0,10.0,4,1,29.125
56,0,0,1,0,1,4,0,0,1,35.0,0,0,7.8958
57,0,0,1,0,1,1,0,0,1,25.0,0,0,7.65
58,0,0,1,0,1,4,0,0,1,30.272590361445783,1,0,16.1
59,1,0,0,1,0,6,1,0,0,36.0,0,0,262.375
60,0,0,1,0,1,4,0,0,1,17.0,0,0,7.8958
61,0,1,0,0,1,4,0,0,1,32.0,0,0,13.5
62,0,0,1,0,1,4,0,0,1,18.0,0,0,7.75
63,0,0,1,1,0,4,0,1,0,22.0,0,0,7.725
64,1,0,0,0,1,6,1,0,0,13.0,2,2,262.375
65,0,1,0,1,0,4,0,0,1,30.272590361445783,0,0,21.0
66,0,0,1,1,0,4,0,1,0,18.0,0,0,7.8792
67,1,0,0,0,1,4,0,0,1,47.0,0,0,42.4
68,1,0,0,0,1,5,1,0,0,31.0,0,0,28.5375
69,1,0,0,1,0,5,0,0,1,60.0,1,4,263.0
70,0,0,1,1,0,4,0,1,0,24.0,0,0,7.75
71,0,0,1,0,1,4,0,0,1,21.0,0,0,7.8958
72,0,0,1,1,0,4,0,0,1,29.0,0,0,7.925
73,1,0,0,0,1,4,1,0,0,28.5,0,0,27.7208
74,1,0,0,1,0,5,1,0,0,35.0,0,0,211.5
75,1,0,0,0,1,5,1,0,0,32.5,0,0,211.5
76,0,0,1,0,1,4,0,0,1,30.272590361445783,0,0,8.05
77,1,0,0,1,0,5,0,0,1,55.0,2,0,25.7
78,0,1,0,0,1,4,0,0,1,30.0,0,0,13.0
79,0,0,1,1,0,4,0,1,0,24.0,0,0,7.75
80,0,0,1,0,1,4,1,0,0,6.0,1,1,15.2458
81,1,0,0,0,1,5,0,0,1,67.0,1,0,221.7792
82,1,0,0,0,1,4,0,0,1,49.0,0,0,26.0
83,0,0,1,0,1,4,0,0,1,30.272590361445783,0,0,7.8958
84,0,1,0,0,1,4,0,1,0,30.272590361445783,0,0,10.7083
85,0,0,1,0,1,4,1,0,0,30.272590361445783,1,0,14.4542
86,0,0,1,1,0,4,0,1,0,27.0,0,0,7.8792
87,0,0,1,1,0,4,0,0,1,18.0,0,0,8.05
88,0,0,1,1,0,4,0,1,0,30.272590361445783,0,0,7.75
89,0,1,0,0,1,4,0,0,1,2.0,1,1,23.0
90,0,0,1,1,0,4,0,0,1,22.0,1,0,13.9
91,0,0,1,0,1,4,0,0,1,30.272590361445783,0,0,7.775
92,1,0,0,1,0,6,0,0,1,27.0,1,2,52.0
93,0,0,1,0,1,4,0,0,1,30.272590361445783,0,0,8.05
94,1,0,0,0,1,4,1,0,0,25.0,0,0,26.0
95,0,0,1,0,1,4,0,0,1,25.0,0,0,7.7958
96,1,0,0,1,0,5,0,0,1,76.0,1,0,78.85
97,0,0,1,0,1,4,0,0,1,29.0,0,0,7.925
98,0,0,1,1,0,4,0,0,1,20.0,0,0,7.8542
99,0,0,1,0,1,4,0,0,1,33.0,0,0,8.05
100,1,0,0,1,0,5,1,0,0,43.0,1,0,55.4417
101,0,1,0,0,1,4,0,0,1,27.0,1,0,26.0
102,0,0,1,0,1,4,0,1,0,30.272590361445783,0,0,7.75
103,0,0,1,0,1,4,0,0,1,26.0,0,0,7.775
104,0,0,1,1,0,4,1,0,0,16.0,1,1,8.5167
105,0,0,1,0,1,4,0,0,1,28.0,0,0,22.525
106,0,0,1,0,1,4,0,1,0,21.0,0,0,7.8208
107,0,0,1,0,1,4,0,1,0,30.272590361445783,0,0,7.75
108,0,0,1,0,1,4,0,0,1,30.272590361445783,0,0,8.7125
109,0,1,0,0,1,2,0,0,1,18.5,0,0,13.0
110,0,1,0,0,1,4,1,0,0,41.0,0,0,15.0458
111,0,0,1,1,0,4,0,1,0,30.272590361445783,0,0,7.7792
112,1,0,0,1,0,7,1,0,0,36.0,0,0,31.6792
113,0,0,1,1,0,4,0,1,0,18.5,0,0,7.2833
114,1,0,0,1,0,5,0,0,1,63.0,1,0,221.7792
115,0,0,1,0,1,4,1,0,0,18.0,1,0,14.4542
116,0,0,1,0,1,4,1,0,0,30.272590361445783,0,0,6.4375
117,0,0,1,1,0,1,0,0,1,1.0,1,1,16.7
118,1,0,0,0,1,5,1,0,0,36.0,0,0,75.2417
119,0,1,0,1,0,4,0,0,1,29.0,1,0,26.0
120,0,1,0,1,0,4,0,0,1,12.0,0,0,15.75
121,0,0,1,0,1,4,0,1,0,30.272590361445783,1,0,7.75
122,1,0,0,1,0,5,1,0,0,35.0,1,0,57.75
123,0,0,1,0,1,4,0,0,1,28.0,0,0,7.25
124,0,0,1,0,1,4,0,1,0,30.272590361445783,0,0,7.75
125,0,0,1,1,0,4,0,0,1,17.0,0,1,16.1
126,0,0,1,0,1,4,0,0,1,22.0,0,0,7.7958
127,0,0,1,1,0,4,0,1,0,30.272590361445783,2,0,23.25
128,0,1,0,0,1,4,0,0,1,42.0,0,0,13.0
129,0,0,1,0,1,4,0,0,1,24.0,0,0,8.05
130,0,0,1,0,1,4,0,0,1,32.0,0,0,8.05
131,1,0,0,0,1,5,1,0,0,53.0,0,0,28.5
132,0,0,1,1,0,4,0,0,1,30.272590361445783,0,4,25.4667
133,0,0,1,0,1,4,1,0,0,30.272590361445783,1,0,6.4375
134,0,0,1,0,1,4,0,0,1,43.0,0,0,7.8958
135,0,0,1,0,1,4,0,0,1,24.0,0,0,7.8542
136,0,0,1,0,1,4,1,0,0,26.5,0,0,7.225
137,0,1,0,0,1,4,0,0,1,26.0,0,0,13.0
138,0,0,1,1,0,4,0,0,1,23.0,0,0,8.05
139,0,0,1,0,1,4,0,0,1,40.0,1,6,46.9
140,0,0,1,1,0,4,0,0,1,10.0,5,2,46.9
141,1,0,0,1,0,4,0,0,1,33.0,0,0,151.55
142,1,0,0,0,1,6,1,0,0,61.0,1,3,262.375
143,0,1,0,0,1,4,0,0,1,28.0,0,0,26.0
144,1,0,0,0,1,4,0,0,1,42.0,0,0,26.55
145,0,0,1,0,1,4,0,0,1,31.0,3,0,18.0
146,1,0,0,0,1,3,0,0,1,30.272590361445783,0,0,51.8625
147,0,0,1,0,1,4,0,0,1,22.0,0,0,8.05
148,1,0,0,0,1,4,0,0,1,30.272590361445783,0,0,26.55
149,0,1,0,0,1,4,0,0,1,30.0,1,1,26.0
150,1,0,0,1,0,5,1,0,0,23.0,0,1,83.1583
151,0,0,1,0,1,4,1,0,0,30.272590361445783,0,0,7.8958
152,0,0,1,0,1,4,0,0,1,60.5,0,0,35.6271884892086
153,0,0,1,1,0,4,0,0,1,36.0,0,2,12.1833
154,0,0,1,0,1,4,0,0,1,13.0,4,2,31.3875
155,0,0,1,0,1,4,0,0,1,24.0,0,0,7.55
156,1,0,0,1,0,5,0,0,1,29.0,0,0,221.7792
157,0,0,1,1,0,4,0,0,1,23.0,0,0,7.8542
158,1,0,0,0,1,4,0,0,1,42.0,0,0,26.55
159,0,0,1,1,0,4,0,0,1,26.0,0,2,13.775
160,0,0,1,1,0,4,0,1,0,30.272590361445783,0,0,7.7333
161,0,0,1,0,1,4,1,0,0,7.0,1,1,15.2458
162,0,1,0,1,0,4,0,0,1,26.0,0,0,13.5
163,0,0,1,0,1,4,0,0,1,30.272590361445783,0,0,7.0
164,0,1,0,0,1,4,0,0,1,41.0,0,0,13.0
165,0,0,1,1,0,4,0,0,1,26.0,1,1,22.025
166,1,0,0,0,1,6,1,0,0,48.0,0,0,50.4958
167,0,0,1,0,1,4,0,0,1,18.0,2,2,34.375
168,1,0,0,1,0,4,1,0,0,30.272590361445783,0,0,27.7208
169,0,0,1,1,0,4,0,0,1,22.0,0,0,8.9625
170,0,0,1,0,1,4,0,0,1,30.272590361445783,0,0,7.55
171,0,0,1,0,1,4,1,0,0,27.0,0,0,7.225
172,0,0,1,0,1,4,0,0,1,23.0,1,0,13.9
173,0,0,1,0,1,4,1,0,0,30.272590361445783,0,0,7.2292
174,0,0,1,0,1,4,0,0,1,40.0,1,5,31.3875
175,0,1,0,1,0,4,0,0,1,15.0,0,2,39.0
176,0,1,0,1,0,4,0,0,1,20.0,0,0,36.75
177,1,0,0,0,1,5,1,0,0,54.0,1,0,55.4417
178,0,1,0,1,0,2,0,0,1,36.0,0,3,39.0
179,1,0,0,1,0,3,1,0,0,64.0,0,2,83.1583
180,0,1,0,0,1,4,0,0,1,30.0,0,0,13.0
181,1,0,0,0,1,3,1,0,0,37.0,1,1,83.1583
182,1,0,0,1,0,4,0,0,1,18.0,1,0,53.1
183,0,0,1,0,1,4,0,1,0,30.272590361445783,0,0,7.75
184,1,0,0,1,0,6,1,0,0,27.0,1,1,247.5208
185,0,1,0,0,1,4,0,0,1,40.0,0,0,16.0
186,0,1,0,1,0,4,0,0,1,21.0,0,1,21.0
187,0,0,1,0,1,4,0,0,1,17.0,2,0,8.05
188,0,0,1,1,0,4,0,0,1,30.272590361445783,8,2,69.55
189,0,1,0,0,1,4,0,0,1,40.0,0,0,13.0
190,0,1,0,0,1,4,0,0,1,34.0,1,0,26.0
191,1,0,0,0,1,4,0,0,1,30.272590361445783,0,0,26.0
192,0,0,1,0,1,4,0,0,1,11.5,1,1,14.5
193,0,1,0,0,1,4,0,1,0,61.0,0,0,12.35
194,0,1,0,0,1,4,0,0,1,8.0,0,2,32.5
195,0,0,1,0,1,4,0,0,1,33.0,0,0,7.8542
196,1,0,0,0,1,3,1,0,0,6.0,0,2,134.5
197,0,0,1,1,0,4,0,0,1,18.0,0,0,7.775
198,0,1,0,0,1,4,0,0,1,23.0,0,0,10.5
199,0,0,1,1,0,4,0,0,1,30.272590361445783,0,0,8.1125
200,0,0,1,1,0,4,0,1,0,30.272590361445783,0,0,15.5
201,0,0,1,0,1,4,0,0,1,0.33,0,2,14.4
202,1,0,0,0,1,5,1,0,0,47.0,1,0,227.525
203,0,1,0,1,0,4,0,0,1,8.0,1,1,26.0
204,0,1,0,0,1,4,0,0,1,25.0,0,0,10.5
205,1,0,0,0,1,4,1,0,0,30.272590361445783,0,0,25.7417
206,0,0,1,1,0,4,0,1,0,35.0,0,0,7.75
207,0,1,0,0,1,4,0,0,1,24.0,0,0,10.5
208,1,0,0,1,0,7,1,0,0,33.0,0,0,27.7208
209,0,0,1,0,1,4,0,0,1,25.0,0,0,7.8958
210,0,0,1,0,1,4,0,0,1,32.0,0,0,22.525
211,0,0,1,0,1,4,0,0,1,30.272590361445783,0,0,7.05
212,0,1,0,0,1,4,0,0,1,17.0,0,0,73.5
213,0,1,0,1,0,4,0,0,1,60.0,1,0,26.0
214,0,0,1,1,0,4,0,0,1,38.0,4,2,7.775
215,1,0,0,0,1,6,0,0,1,42.0,0,0,42.5
216,0,0,1,1,0,4,0,1,0,30.272590361445783,0,0,7.8792
217,1,0,0,0,1,4,0,0,1,57.0,1,1,164.8667
218,1,0,0,1,0,5,1,0,0,50.0,1,1,211.5
219,0,0,1,0,1,4,0,0,1,30.272590361445783,0,0,8.05
220,0,1,0,1,0,4,1,0,0,30.0,1,0,13.8583
221,0,0,1,0,1,4,0,0,1,21.0,0,0,8.05
222,0,1,0,1,0,2,0,0,1,22.0,0,0,10.5
223,0,0,1,0,1,4,0,0,1,21.0,0,0,7.7958
224,1,0,0,1,0,4,1,0,0,53.0,0,0,27.4458
225,0,0,1,1,0,4,1,0,0,30.272590361445783,0,2,15.2458
226,0,0,1,0,1,4,0,0,1,23.0,0,0,7.7958
227,0,0,1,1,0,4,0,1,0,30.272590361445783,0,0,7.75
228,0,0,1,0,1,4,0,0,1,40.5,0,0,15.1
229,0,1,0,0,1,4,0,0,1,36.0,0,0,13.0
230,0,1,0,0,1,4,0,0,1,14.0,0,0,65.0
231,1,0,0,1,0,4,0,0,1,21.0,0,0,26.55
232,0,0,1,0,1,4,0,0,1,21.0,1,0,6.4958
233,0,0,1,0,1,4,0,1,0,30.272590361445783,0,0,7.8792
234,1,0,0,0,1,5,1,0,0,39.0,1,0,71.2833
235,0,0,1,0,1,4,0,0,1,20.0,0,0,7.8542
236,1,0,0,0,1,4,1,0,0,64.0,1,0,75.25
237,0,0,1,0,1,4,1,0,0,20.0,0,0,7.225
238,0,1,0,1,0,4,0,0,1,18.0,1,1,13.0
239,1,0,0,1,0,5,1,0,0,48.0,1,0,106.425
240,1,0,0,1,0,4,1,0,0,55.0,0,0,27.7208
241,0,1,0,1,0,4,0,0,1,45.0,0,2,30.0
242,1,0,0,0,1,3,1,0,0,45.0,1,1,134.5
243,0,0,1,0,1,4,0,0,1,30.272590361445783,0,0,7.8875
244,0,0,1,0,1,4,0,0,1,30.272590361445783,1,2,23.45
245,1,0,0,0,1,4,0,0,1,41.0,1,0,51.8625
246,0,1,0,1,0,4,0,0,1,22.0,0,0,21.0
247,0,1,0,0,1,4,0,0,1,42.0,1,1,32.5
248,0,1,0,1,0,4,0,0,1,29.0,1,0,26.0
249,0,0,1,1,0,4,1,0,0,30.272590361445783,1,0,14.4542
250,0,1,0,1,0,4,0,0,1,0.92,1,2,27.75
251,0,0,1,0,1,4,0,0,1,20.0,0,0,7.925
252,1,0,0,0,1,5,1,0,0,27.0,1,0,136.7792
253,0,0,1,0,1,4,0,0,1,24.0,0,0,9.325
254,0,0,1,0,1,4,0,0,1,32.5,0,0,9.5
255,0,0,1,0,1,4,0,0,1,30.272590361445783,0,0,7.55
256,0,0,1,0,1,4,0,1,0,30.272590361445783,0,0,7.75
257,0,0,1,0,1,4,0,0,1,28.0,0,0,8.05
258,0,1,0,1,0,4,0,0,1,19.0,0,0,13.0
259,0,0,1,0,1,4,0,0,1,21.0,0,0,7.775
260,0,0,1,0,1,4,0,0,1,36.5,1,0,17.4
261,0,0,1,0,1,4,0,0,1,21.0,0,0,7.8542
262,0,1,0,1,0,4,0,0,1,29.0,0,2,23.0
263,0,0,1,1,0,4,0,0,1,1.0,1,1,12.1833
264,0,1,0,0,1,4,1,0,0,30.0,0,0,12.7375
265,0,0,1,0,1,4,0,0,1,30.272590361445783,0,0,7.8958
266,1,0,0,0,1,4,0,0,1,30.272590361445783,0,0,0.0
267,0,0,1,0,1,4,0,0,1,30.272590361445783,0,0,7.55
268,0,0,1,1,0,4,0,0,1,30.272590361445783,0,0,8.05
269,0,0,1,0,1,4,0,0,1,17.0,0,0,8.6625
270,1,0,0,0,1,5,1,0,0,46.0,0,0,75.2417
271,0,0,1,0,1,4,0,1,0,30.272590361445783,0,0,7.75
272,1,0,0,1,0,5,1,0,0,26.0,1,0,136.7792
273,0,0,1,1,0,4,0,1,0,30.272590361445783,1,0,15.5
274,0,0,1,0,1,4,1,0,0,30.272590361445783,0,0,7.225
275,0,1,0,1,0,4,0,0,1,20.0,1,0,26.0
276,0,1,0,0,1,4,0,0,1,28.0,0,0,10.5
277,0,1,0,0,1,4,0,0,1,40.0,1,0,26.0
278,0,1,0,0,1,4,0,0,1,30.0,1,0,21.0
279,0,1,0,0,1,4,0,0,1,22.0,0,0,10.5
280,0,0,1,1,0,4,0,0,1,23.0,0,0,8.6625
281,0,0,1,0,1,4,0,0,1,0.75,1,1,13.775
282,0,0,1,1,0,4,0,1,0,30.272590361445783,0,0,7.75
283,0,0,1,1,0,4,1,0,0,9.0,1,1,15.2458
284,0,0,1,1,0,4,0,0,1,2.0,1,1,20.2125
285,0,0,1,0,1,4,0,0,1,36.0,0,0,7.25
286,0,0,1,0,1,4,0,0,1,30.272590361445783,0,0,7.25
287,1,0,0,0,1,6,0,0,1,24.0,1,0,82.2667
288,0,0,1,0,1,2,1,0,0,30.272590361445783,0,0,7.2292
289,0,0,1,0,1,4,0,0,1,30.272590361445783,0,0,8.05
290,1,0,0,0,1,4,0,0,1,30.272590361445783,0,0,39.6
291,0,0,1,1,0,4,0,1,0,30.0,0,0,6.95
292,0,0,1,0,1,4,1,0,0,30.272590361445783,0,0,7.2292
293,1,0,0,0,1,7,0,0,1,53.0,1,1,81.8583
294,0,0,1,0,1,4,0,0,1,36.0,0,0,9.5
295,0,0,1,0,1,4,0,0,1,26.0,0,0,7.8958
296,0,1,0,1,0,4,1,0,0,1.0,1,2,41.5792
297,0,0,1,0,1,4,1,0,0,30.272590361445783,2,0,21.6792
298,1,0,0,0,1,4,0,0,1,30.0,0,0,45.5
299,0,0,1,0,1,4,0,0,1,29.0,0,0,7.8542
300,0,0,1,0,1,4,0,0,1,32.0,0,0,7.775
301,0,1,0,0,1,4,1,0,0,30.272590361445783,0,0,15.0458
302,0,1,0,0,1,4,0,0,1,43.0,0,1,21.0
303,0,0,1,0,1,4,0,0,1,24.0,0,0,8.6625
304,0,0,1,1,0,4,0,1,0,30.272590361445783,0,0,7.75
305,1,0,0,1,0,6,0,0,1,64.0,1,1,26.55
306,1,0,0,0,1,5,0,0,1,30.0,1,2,151.55
307,0,0,1,0,1,4,0,0,1,0.83,0,1,9.35
308,1,0,0,0,1,6,0,0,1,55.0,1,1,93.5
309,0,0,1,1,0,4,0,0,1,45.0,1,0,14.1083
310,0,0,1,0,1,4,0,0,1,18.0,0,0,8.6625
311,0,0,1,0,1,4,1,0,0,22.0,0,0,7.225
312,0,0,1,0,1,4,0,0,1,30.272590361445783,0,0,7.575
313,0,0,1,1,0,4,0,1,0,37.0,0,0,7.75
314,1,0,0,1,0,5,1,0,0,55.0,0,0,135.6333
315,0,0,1,1,0,4,0,1,0,17.0,0,0,7.7333
316,1,0,0,0,1,6,1,0,0,57.0,1,0,146.5208
317,0,1,0,0,1,4,0,0,1,19.0,0,0,10.5
318,0,0,1,0,1,4,0,0,1,27.0,0,0,7.8542
319,0,1,0,0,1,4,0,0,1,22.0,2,0,31.5
320,0,0,1,0,1,4,0,0,1,26.0,0,0,7.775
321,0,0,1,0,1,2,1,0,0,25.0,0,0,7.2292
322,0,1,0,0,1,2,0,0,1,26.0,0,0,13.0
323,1,0,0,0,1,4,0,0,1,33.0,0,0,26.55
324,1,0,0,1,0,4,0,0,1,39.0,0,0,211.3375
325,0,0,1,0,1,4,0,0,1,23.0,0,0,7.05
326,0,1,0,1,0,2,0,0,1,12.0,2,1,39.0
327,1,0,0,0,1,4,1,0,0,46.0,0,0,79.2
328,0,1,0,0,1,4,0,0,1,29.0,1,0,26.0
329,0,1,0,0,1,4,0,0,1,21.0,0,0,13.0
330,0,1,0,1,0,4,0,0,1,48.0,0,2,36.75
331,1,0,0,0,1,7,1,0,0,39.0,0,0,29.7
332,0,0,1,0,1,4,1,0,0,30.272590361445783,0,0,7.225
333,0,0,1,1,0,4,1,0,0,19.0,1,1,15.7417
334,0,0,1,0,1,4,0,0,1,27.0,0,0,7.8958
335,1,0,0,0,1,5,0,0,1,30.0,0,0,26.0
336,0,1,0,0,1,4,0,0,1,32.0,0,0,13.0
337,0,0,1,0,1,4,1,0,0,39.0,0,2,7.2292
338,0,1,0,0,1,4,0,0,1,25.0,0,0,31.5
339,0,0,1,0,1,4,1,0,0,30.272590361445783,0,0,7.2292
340,0,1,0,0,1,4,0,0,1,18.0,0,0,10.5
341,0,0,1,0,1,4,0,0,1,32.0,0,0,7.5792
342,0,0,1,0,1,4,0,0,1,30.272590361445783,1,9,69.55
343,1,0,0,1,0,6,1,0,0,58.0,0,1,512.3292
344,0,0,1,0,1,4,0,0,1,30.272590361445783,1,1,14.5
345,0,0,1,1,0,4,0,0,1,16.0,0,0,7.65
346,0,1,0,0,1,4,0,0,1,26.0,0,0,13.0
347,0,0,1,1,0,4,1,0,0,38.0,0,0,7.2292
348,0,1,0,0,1,4,0,0,1,24.0,0,0,13.5
349,0,1,0,1,0,4,0,0,1,31.0,0,0,21.0
350,1,0,0,1,0,4,1,0,0,45.0,0,1,63.3583
351,0,1,0,0,1,4,0,0,1,25.0,0,0,10.5
352,0,1,0,0,1,4,0,0,1,18.0,0,0,73.5
353,0,1,0,0,1,4,0,0,1,49.0,1,2,65.0
354,0,0,1,1,0,4,0,0,1,0.17,1,2,20.575
355,1,0,0,0,1,3,0,0,1,50.0,0,0,26.0
356,1,0,0,1,0,5,0,0,1,59.0,2,0,51.4792
357,0,0,1,0,1,4,0,0,1,30.272590361445783,0,0,7.8792
358,0,0,1,0,1,4,0,1,0,30.272590361445783,0,0,7.75
359,0,0,1,1,0,4,0,0,1,30.0,1,0,15.55
360,0,0,1,0,1,4,0,0,1,14.5,8,2,69.55
361,0,1,0,1,0,4,1,0,0,24.0,1,1,37.0042
362,0,1,0,1,0,4,0,0,1,31.0,0,0,21.0
363,0,0,1,0,1,4,0,0,1,27.0,0,0,8.6625
364,1,0,0,1,0,3,1,0,0,25.0,1,0,55.4417
365,0,0,1,1,0,4,0,0,1,30.272590361445783,1,9,69.55
366,0,0,1,0,1,4,1,0,0,30.272590361445783,1,0,14.4583
367,0,0,1,1,0,4,0,0,1,22.0,0,0,39.6875
368,1,0,0,1,0,4,1,0,0,45.0,0,1,59.4
369,0,1,0,0,1,4,1,0,0,29.0,0,0,13.8583
370,0,1,0,0,1,4,0,0,1,21.0,1,0,11.5
371,1,0,0,1,0,3,1,0,0,31.0,0,0,134.5
372,1,0,0,0,1,6,0,0,1,49.0,0,0,0.0
373,0,1,0,0,1,4,0,0,1,44.0,0,0,13.0
374,1,0,0,1,0,7,0,0,1,54.0,1,1,81.8583
375,1,0,0,1,0,4,1,0,0,45.0,0,0,262.375
376,0,0,1,1,0,4,0,0,1,22.0,2,0,8.6625
377,0,1,0,0,1,4,0,0,1,21.0,0,0,11.5
378,1,0,0,0,1,5,0,0,1,55.0,0,0,50.0
379,0,0,1,0,1,4,0,0,1,5.0,4,2,31.3875
380,0,0,1,0,1,4,0,1,0,30.272590361445783,0,0,7.75
381,0,0,1,0,1,4,0,1,0,26.0,0,0,7.8792
382,0,0,1,1,0,4,0,0,1,30.272590361445783,0,0,14.5
383,0,0,1,1,0,4,0,0,1,19.0,1,0,16.1
384,0,1,0,0,1,4,0,0,1,30.272590361445783,0,0,12.875
385,0,1,0,1,0,4,0,0,1,24.0,1,2,65.0
386,0,0,1,0,1,4,0,0,1,24.0,0,0,7.775
387,0,1,0,0,1,4,0,0,1,57.0,0,0,13.0
388,0,0,1,0,1,4,0,1,0,21.0,0,0,7.75
389,0,0,1,0,1,4,0,0,1,6.0,3,1,21.075
390,1,0,0,0,1,6,0,0,1,23.0,0,0,93.5
391,1,0,0,1,0,4,0,0,1,51.0,0,1,39.4
392,0,0,1,0,1,4,0,0,1,13.0,0,2,20.25
393,0,1,0,0,1,4,0,0,1,47.0,0,0,10.5
394,0,0,1,0,1,4,0,0,1,29.0,3,1,22.025
395,1,0,0,1,0,5,0,0,1,18.0,1,0,60.0
396,0,0,1,0,1,4,0,1,0,24.0,0,0,7.25
397,1,0,0,1,0,6,1,0,0,48.0,1,1,79.2
398,0,0,1,0,1,4,0,0,1,22.0,0,0,7.775
399,0,0,1,0,1,4,0,1,0,31.0,0,0,7.7333
400,1,0,0,1,0,5,0,0,1,30.0,0,0,164.8667
401,0,1,0,0,1,4,0,0,1,38.0,1,0,21.0
402,1,0,0,1,0,4,1,0,0,22.0,0,1,59.4
403,1,0,0,0,1,4,0,0,1,17.0,0,0,47.1
404,1,0,0,0,1,4,1,0,0,43.0,1,0,27.7208
405,0,1,0,0,1,4,1,0,0,20.0,0,0,13.8625
406,0,1,0,0,1,4,0,0,1,23.0,1,0,10.5
407,1,0,0,0,1,5,1,0,0,50.0,1,1,211.5
408,0,0,1,1,0,4,0,1,0,30.272590361445783,0,0,7.7208
409,0,0,1,1,0,4,0,0,1,3.0,1,1,13.775
410,0,0,1,1,0,4,0,1,0,30.272590361445783,0,0,7.75
411,1,0,0,1,0,5,0,1,0,37.0,1,0,90.0
412,0,0,1,1,0,4,0,0,1,28.0,0,0,7.775
413,0,0,1,0,1,4,0,0,1,30.272590361445783,0,0,8.05
414,1,0,0,1,0,5,1,0,0,39.0,0,0,108.9
415,0,0,1,0,1,4,0,0,1,38.5,0,0,7.25
416,0,0,1,0,1,4,0,0,1,30.272590361445783,0,0,8.05
417,0,0,1,0,1,4,1,0,0,30.272590361445783,1,1,22.3583
